"title","book_id","detail_url","category","author_raw","publisher","pub_date","original_price","sale_price","discount_rate","rating","review_count","delivery_info","badge","signature","series_name","sales_index","is_reserved","has_preview","is_soldout","revised_notice","ebook_info","gift_info","description","image_url"
"2012 블로그 & 소셜네트워크 처음부터 제대로 만들기","5968904","https://www.yes24.com/product/goods/5968904","모바일/태블릿/SNS","이영호 저","세진북스","2012년 01월","16,000","14,400","10","10.0","회원리뷰(1건)","2일 이내 (5/13, 화) 출고예정",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010년에 출간된 ‘블로그 처음부터 제대로 만들기’의 경우, 왕초보자가 컴퓨터와 책을 동시에 보며 블로그 만들기를 따라할 수 있도록 각 단계별 설명을 풀어서 썼다면, 새롭게 바뀐 블로그 만들기 기능에 대해 1...","https://image.yes24.com/goods/5968904/L"
"갤럭시 노트 유징바이블 Using Bible","6109625","https://www.yes24.com/product/goods/6109625","모바일/태블릿/SNS","강현주 저","황금부엉이","2012년 01월","17,800","16,020","10","9.3","회원리뷰(4건)",NA,NA,NA,"Using Bible-15",NA,NA,"Y","절판",NA,NA,NA,"책은 사용자를 위해 네 가지 단계로 구성했다. 갤럭시 노트 기본 조작법, 갤럭시 노트 기본 어플 사용법, 갤럭시 노트 고급 어플 사용법, 갤럭시 노트 Inside가 그것이다.갤럭시 노트 기본 조작법, 갤럭시 노트 기본...","https://image.yes24.com/goods/6109625/L"
"갤럭시탭 10.1 안드로이드 생활백서","5933652","https://www.yes24.com/product/goods/5933652","모바일/태블릿/SNS","김기수 저","세진북스","2012년 01월","17,000","15,300","10",NA,NA,"2일 이내 (5/13, 화) 출고예정",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"갤럭시Tab 10.1은 OS만 바뀐 것이 아니라 크기도 커지고 성능 또한 무척 좋아 졌다. 하지만 무게는 아주 가볍습니다. 경쟁모델로 일컬어지는 ipad와 비교해 보아도 무척 가볍다. 7인치의 후속 모델인 7.9인치의 갤럭...","https://image.yes24.com/goods/5933652/L"
"구글+아이폰 200% 업무 활용법","6156776","https://www.yes24.com/product/goods/6156776","모바일/태블릿/SNS","이임복 저","한빛미디어","2012년 01월","16,800","15,120","10","8.7","회원리뷰(29건)",NA,NA,NA,NA,NA,NA,"Y","절판",NA,"Y",NA,"당신이 꼭 알아야 할 구글+아이폰 업무 활용 기술 104가지구글과 아이폰만으로 업무 환경을 얼마나 효율적으로 바꿀 수 있는지 알려준다. G메일을 비롯한 구글 서비스를 이용한 업무 활용 기술을 알려주고, 업무에 ...","https://image.yes24.com/goods/6156776/L"
"스마트패드 생존 전략","6093456","https://www.yes24.com/product/goods/6093456","모바일/태블릿/SNS","박종일, 정영호 공저","에이콘출판사","2012년 01월","18,500","16,650","10","9.3","회원리뷰(3건)",NA,NA,NA,"에이콘 acornLoft 시리즈",NA,NA,"Y","절판",NA,"Y",NA,"스마트패드의 정의와 시장 전망, 사용자 분석을 거쳐, 스마트패드 산업이 생존하기 위한 혹은 스마트패드가 새롭게 열어나갈 4가지 C-P-N-T(콘텐츠-플랫폼-네트워크-단말)에 대한 비즈니스 트렌드 분석 보고서를 내...","https://image.yes24.com/goods/6093456/L"
"페이스북 쉽게 배우기","6120456","https://www.yes24.com/product/goods/6120456","모바일/태블릿/SNS","진민정, 최재용, 이영환, 박병규 공저","영진닷컴","2011년 12월","13,000","11,700","10",NA,NA,NA,NA,"개정판",NA,NA,NA,"Y","절판",NA,"Y",NA,"전 세계 8억명이 즐기는 페이스북! 새로워진 페이스북의 기본부터 활용까지!소셜 네트워크의 최강자 페이스북! 그 열풍 속 페이스북을 파헤쳐본다.","https://image.yes24.com/goods/6120456/L"
"소셜미디어 SNS 마스터 세트","6107484","https://www.yes24.com/product/goods/6107484","모바일/태블릿/SNS","에릭 퀄먼 저","에이콘출판사","2011년 12월","49,000","44,100","10",NA,NA,NA,NA,"전3권",NA,NA,NA,NA,"절판",NA,NA,NA,"『기업 소셜미디어 활용 전략』은 일관된 소셜미디어 전략을 수립하고 실행하는 데 참고할 만한 완벽한 안내서로서, IT, 고객 서비스, 판매, 커뮤니케이션뿐 아니라 조직의 소셜미디어 목표에 들어맞는 그 외의 다양...","https://image.yes24.com/goods/6107484/L"
"아이폰 4S 쉽게 배우기","6041695","https://www.yes24.com/product/goods/6041695","모바일/태블릿/SNS","안창현 저","영진닷컴","2011년 12월","14,000","12,600","10",NA,NA,NA,NA,NA,NA,NA,NA,"Y","품절",NA,NA,NA,"아이클라우드와 시리로 더욱 강력해진 아이폰 4S 완벽 활용가이드국내 스마트폰 돌풍을 일으켰던 주역, 아이폰이 더욱 막강한 성능으로 업그레이드 되었다. 아이폰 4S는 빠른 실행 속도와 향상된 카메라 성능, 그리...","https://image.yes24.com/goods/6041695/L"
"소셜노믹스 Socialnomics","6035147","https://www.yes24.com/product/goods/6035147","모바일/태블릿/SNS","에릭 퀄먼 저","에이콘출판사","2011년 12월","18,500","16,650","10","6.0","회원리뷰(1건)",NA,NA,"개정판","에이콘- 소셜미디어 시리즈-12",NA,NA,NA,"절판",NA,NA,NA,"소셜노믹스 시대, 승자와 패자는 누가 될 것인가?싸이월드, 네이버, 트위터 등 사람들은 인터넷을 통해 서로 정보와 감정을 주고 받고 있다. 시장 조사기관인 포레스터에 의하면 미국인의 75%가 소셜 기술을 사용하...","https://image.yes24.com/goods/6035147/L"
"아이폰 4S Using Bible","5958916","https://www.yes24.com/product/goods/5958916","모바일/태블릿/SNS","강현주, 이윤환 공저","황금부엉이","2011년 12월","16,800","15,120","10","9.4","회원리뷰(11건)",NA,NA,NA,NA,NA,NA,"Y","품절",NA,NA,NA,"책은 크게 네 부분으로 구성되어 있다. 아이폰 4S 기본 조작법, 아이폰 4S 기본 어플 사용법, 아이폰 4S 고급 어플 사용법, iPhone 4S Inside가 그것이다. 아이폰 4S 기본 조작법, 아이폰 4S 기본 어플 사용법에서는...","https://image.yes24.com/goods/5958916/L"
"아이패드2 Using Bible","6020231","https://www.yes24.com/product/goods/6020231","모바일/태블릿/SNS","이규민 저","황금부엉이","2011년 12월","17,800","16,020","10","10.0","회원리뷰(4건)",NA,NA,"iOS 5 최신개정판","Using Bible-14",NA,NA,"Y","품절",NA,NA,NA,"아이패드1에 이어 아이패드2 또한 많은 독자의 선택과 사랑을 받았던 아이패드 분야의 1등 「아이패드2 Using Bible」이 이번에 새롭게 업데이트된 애플의 최신 운영체제 iOS 5의 기능을 충실히 반영하여 다시 돌아...","https://image.yes24.com/goods/6020231/L"
"아이폰 4S 무작정 따라하기","6011412","https://www.yes24.com/product/goods/6011412","모바일/태블릿/SNS","이순원 저","길벗","2011년 11월","15,000","13,500","10","9.4","회원리뷰(5건)",NA,NA,NA,NA,NA,NA,"Y","품절",NA,NA,NA,"아이폰4S 구성품 설명부터 아이폰 선배들의 상황별 활용법, 110개의 주요 기능과 27개의 활용 앱 설명까지 단숨에 익힐 수 있다. 또한 미리 알림, 아이메시지, 아이클라우드 등의 새로운 iOS5 기능도 목차에서 쉽게 ...","https://image.yes24.com/goods/6011412/L"
"아이폰4 Using Bible + iOS 5 업그레이드 Using Bible 세트","5947592","https://www.yes24.com/product/goods/5947592","모바일/태블릿/SNS","강현주, 이윤환 공저","황금부엉이","2011년 11월","16,800","15,120","10",NA,NA,"2일 이내 (5/13, 화) 출고예정",NA,"전2권",NA,NA,NA,NA,NA,NA,NA,NA,"『아이폰4 Using Bible』과 『iOS 5 업그레이드 Using Bible』, 총 두 권으로 구성되었다. 「아이폰4 Using Bible」은 아직 아이폰의 시스템을 제대로 이해하지 못하는 사용자들을 위해 아이폰4의 기본 조작법부터 ...","https://image.yes24.com/goods/5947592/L"
"iOS 5 업그레이드 Using Bible","5934030","https://www.yes24.com/product/goods/5934030","모바일/태블릿/SNS","강현주 저","황금부엉이","2011년 11월","4,800","4,320","10",NA,NA,NA,NA,NA,"Using Bible-12",NA,NA,"Y","절판",NA,NA,NA,"iOS 5 업데이트하기, 손쉬운 기능으로 AssistiveTouch 사용하기, 새로운 진동 만들어 적용하기, 미리 알림 등록하기, 캘린더에 시간별 일정 등록하기, 원하는 내용 단축키로 등록하기, 아이클라우드 계정 등록과 메...","https://image.yes24.com/goods/5934030/L"
